Date,open,high,low,close,"XAU/USD(Open, Bid)*","XAU/USD(High, Bid)*","XAU/USD(Low, Bid)*","XAU/USD(Close, Bid)*"
24//2017:00:00,1288.84,1288.88,1288.84,1288.88,1288.28,1288.29,1288.28,1288.29
24//2017:00:00,1288.55,1288.87,1288.40,1288.84,1288.04,1288.32,1287.95,1288.32
24//2017:00:00,1288.65,1288.78,1288.45,1288.55,1288.16,1288.23,1287.93,1288.04
24//2017:00:00,1288.77,1288.77,1288.55,1288.61,1288.30,1288.30,1288.09,1288.14
24//2017:00:00,1288.46,1288.77,1288.43,1288.77,1288.07,1288.36,1288.02,1288.29
24//2017:00:00,1288.34,1288.47,1288.17,1288.47,1287.93,1288.05,1287.76,1288.05
24//2017:00:00,1288.35,1288.41,1288.29,1288.35,1287.83,1288.01,1287.78,1287.94
24//2017:00:00,1288.24,1288.45,1288.24,1288.35,1287.82,1288.04,1287.82,1287.88
24//2017:00:00,1288.35,1288.48,1288.19,1288.26,1287.93,1288.02,1287.71,1287.83
24//2017:00:00,1288.57,1288.57,1288.27,1288.35,1288.00,1288.15,1287.86,1287.92
24//2017:00:00,1288.08,1288.56,1288.05,1288.56,1287.73,1288.15,1287.67,1288.15
24//2017:00:00,1288.38,1288.46,1288.08,1288.08,1287.99,1288.07,1287.71,1287.75
24//2017:00:00,1288.10,1288.41,1288.06,1288.40,1287.71,1288.02,1287.67,1288.01
24//2017:00:00,1288.39,1288.44,1288.08,1288.11,1288.00,1288.05,1287.69,1287.72
24//2017:00:00,1288.44,1288.54,1288.28,1288.40,1288.05,1288.20,1287.89,1288.01
24//2017:00:00,1288.10,1288.67,1288.10,1288.45,1287.71,1288.23,1287.71,1288.06
24//2017:00:00,1288.60,1288.68,1287.96,1288.09,1288.21,1288.29,1287.57,1287.70
24//2017:00:00,1288.61,1288.80,1288.52,1288.59,1288.22,1288.41,1288.13,1288.20
24//2017:00:00,1288.97,1289.07,1288.55,1288.60,1288.58,1288.68,1288.16,1288.21
24//2017:00:00,1288.39,1288.98,1288.23,1288.98,1288.00,1288.59,1287.84,1288.59
24//2017:00:00,1288.33,1288.68,1288.24,1288.38,1287.94,1288.29,1287.85,1287.99
24//2017:00:00,1288.73,1288.73,1288.09,1288.34,1288.24,1288.25,1287.70,1287.95
24//2017:00:00,1289.05,1289.05,1288.32,1288.69,1288.66,1288.66,1287.93,1288.28
24//2017:00:00,1288.92,1289.28,1288.67,1289.04,1288.53,1288.89,1288.30,1288.65
24//2017:00:00,1288.71,1289.04,1288.48,1288.93,1288.32,1288.65,1288.09,1288.54
24//2017:00:00,1288.37,1288.73,1288.34,1288.71,1287.98,1288.35,1287.95,1288.31
24//2017:00:00,1288.12,1288.62,1288.05,1288.36,1287.73,1288.23,1287.66,1287.97
24//2017:00:00,1288.02,1288.27,1287.97,1288.13,1287.63,1287.88,1287.58,1287.74
24//2017:00:00,1288.48,1288.55,1287.97,1288.03,1288.09,1288.16,1287.58,1287.64
24//2017:00:00,1289.05,1289.20,1288.45,1288.47,1288.66,1288.81,1288.06,1288.08
24//2017:00:00,1289.07,1289.10,1288.84,1289.06,1288.68,1288.71,1288.45,1288.67
24//2017:00:00,1288.64,1289.13,1288.63,1289.05,1288.25,1288.74,1288.24,1288.66
24//2017:00:00,1288.71,1288.81,1288.39,1288.63,1288.32,1288.43,1288.02,1288.24
24//2017:00:00,1289.03,1289.49,1288.63,1288.70,1288.64,1289.08,1288.24,1288.31
24//2017:00:00,1289.21,1289.62,1288.97,1289.04,1288.82,1289.23,1288.60,1288.65
24//2017:00:00,1288.75,1289.49,1288.67,1289.19,1288.36,1289.11,1288.28,1288.82
24//2017:00:00,1288.79,1289.04,1288.71,1288.74,1288.40,1288.66,1288.32,1288.35
24//2017:00:00,1288.86,1289.17,1288.72,1288.77,1288.48,1288.78,1288.35,1288.38
24//2017:00:00,1288.57,1288.87,1288.19,1288.87,1288.18,1288.48,1287.80,1288.48
24//2017:00:00,1288.40,1288.75,1288.37,1288.59,1288.01,1288.36,1287.98,1288.20
24//2017:00:00,1288.43,1288.67,1288.25,1288.39,1288.04,1288.28,1287.86,1288.00
24//2017:00:00,1289.35,1289.43,1287.44,1288.43,1288.96,1289.05,1287.05,1288.03
24//2017:00:00,1289.73,1290.02,1289.34,1289.35,1289.34,1289.63,1288.96,1288.97
24//2017:00:00,1290.32,1290.51,1289.72,1289.73,1289.97,1290.14,1289.33,1289.35
24//2017:00:00,1290.69,1290.78,1290.23,1290.32,1290.30,1290.40,1289.87,1289.98
24//2017:00:00,1290.31,1290.99,1290.00,1290.70,1289.95,1290.60,1289.61,1290.31
24//2017:00:00,1290.32,1290.70,1290.19,1290.31,1289.97,1290.35,1289.80,1289.94
24//2017:00:00,1290.48,1290.58,1290.20,1290.31,1290.12,1290.23,1289.84,1289.96
24//2017:00:00,1290.83,1291.21,1290.28,1290.48,1290.41,1290.88,1289.90,1290.11
24//2017:00:00,1290.80,1291.34,1290.51,1290.83,1290.42,1290.96,1290.13,1290.42
24//2017:00:00,1291.51,1291.57,1290.68,1290.81,1291.12,1291.19,1290.29,1290.42
24//2017:00:00,1288.78,1291.60,1288.72,1291.50,1288.39,1291.20,1288.35,1291.12
24//2017:00:00,1288.92,1289.03,1288.62,1288.78,1288.54,1288.68,1288.24,1288.38
24//2017:00:00,1289.33,1289.52,1288.82,1288.92,1288.94,1289.15,1288.42,1288.55
24//2017:00:00,1289.01,1289.44,1288.62,1289.32,1288.61,1289.07,1288.29,1288.93
24//2017:00:00,1289.11,1289.32,1288.61,1289.01,1288.76,1288.96,1288.26,1288.62
24//2017:00:00,1289.01,1289.34,1288.86,1289.12,1288.67,1289.01,1288.49,1288.75
24//2017:00:00,1288.62,1289.23,1288.58,1289.01,1288.27,1288.88,1288.21,1288.66
24//2017:00:00,1288.55,1288.83,1288.35,1288.62,1288.19,1288.45,1288.01,1288.26
24//2017:00:00,1288.48,1289.11,1288.31,1288.55,1288.09,1288.78,1287.95,1288.20
24//2017:00:00,1287.94,1288.77,1287.85,1288.48,1287.63,1288.41,1287.47,1288.10
24//2017:00:00,1287.84,1288.15,1287.83,1287.94,1287.52,1287.77,1287.48,1287.61
24//2017:00:00,1288.21,1288.51,1287.84,1287.84,1287.82,1288.13,1287.51,1287.53
24//2017:00:00,1288.00,1288.43,1287.76,1288.20,1287.64,1288.05,1287.32,1287.81
24//2017:00:00,1288.48,1288.70,1287.97,1288.00,1288.11,1288.36,1287.62,1287.63
24//2017:00:00,1289.02,1289.10,1288.42,1288.48,1288.68,1288.76,1288.03,1288.14
24//2017:00:00,1288.99,1289.35,1288.79,1289.02,1288.60,1288.99,1288.40,1288.67
24//2017:00:00,1289.21,1289.82,1288.90,1288.98,1288.84,1289.43,1288.51,1288.59
24//2017:00:00,1288.88,1289.28,1288.69,1289.22,1288.53,1288.92,1288.34,1288.84
24//2017:00:00,1288.79,1289.01,1288.54,1288.88,1288.42,1288.63,1288.17,1288.52
24//2017:00:00,1288.60,1289.00,1288.38,1288.80,1288.24,1288.63,1288.01,1288.42
24//2017:00:00,1289.00,1289.01,1288.48,1288.60,1288.65,1288.65,1288.10,1288.25
24//2017:00:00,1289.20,1289.21,1288.98,1289.00,1288.81,1288.83,1288.61,1288.63
24//2017:00:00,1288.89,1289.41,1288.66,1289.21,1288.51,1289.04,1288.28,1288.82
24//2017:00:00,1289.38,1289.40,1288.89,1288.89,1289.02,1289.02,1288.50,1288.50
24//2017:00:00,1288.87,1289.41,1288.67,1289.39,1288.46,1289.02,1288.31,1289.02
24//2017:00:00,1289.08,1289.67,1288.80,1288.87,1288.69,1289.28,1288.44,1288.48
24//2017:00:00,1288.32,1289.09,1288.15,1289.07,1287.96,1288.71,1287.77,1288.68
24//2017:00:00,1287.63,1288.34,1287.53,1288.32,1287.27,1287.97,1287.15,1287.95
24//2017:00:00,1287.64,1287.65,1287.44,1287.63,1287.30,1287.31,1287.07,1287.28
24//2017:00:00,1287.78,1287.80,1287.51,1287.64,1287.40,1287.47,1287.13,1287.29
24//2017:00:00,1287.50,1287.88,1287.48,1287.78,1287.14,1287.50,1287.10,1287.39
24//2017:00:00,1287.66,1287.98,1286.98,1287.50,1287.28,1287.60,1286.61,1287.13
24//2017:00:00,1287.76,1287.86,1287.45,1287.67,1287.38,1287.49,1287.06,1287.28
24//2017:00:00,1287.75,1287.97,1287.46,1287.76,1287.38,1287.58,1287.07,1287.40
24//2017:00:00,1287.53,1287.84,1287.33,1287.75,1287.14,1287.45,1286.95,1287.39
24//2017:00:00,1286.99,1287.79,1286.93,1287.52,1286.64,1287.45,1286.57,1287.14
24//2017:00:00,1288.29,1288.31,1285.90,1287.00,1287.90,1287.92,1285.50,1286.64
24//2017:00:00,1288.63,1288.73,1288.14,1288.28,1288.26,1288.34,1287.76,1287.89
24//2017:00:00,1288.18,1288.67,1288.01,1288.64,1287.80,1288.28,1287.63,1288.26
24//2017:00:00,1287.66,1288.48,1287.66,1288.18,1287.27,1288.09,1287.27,1287.79
24//2017:00:00,1289.00,1289.00,1287.52,1287.68,1288.65,1288.65,1287.15,1287.29
24//2017:00:00,1289.34,1289.57,1288.70,1289.00,1288.97,1289.20,1288.32,1288.64
24//2017:00:00,1289.51,1289.62,1289.11,1289.33,1289.13,1289.25,1288.74,1288.97
24//2017:00:00,1289.46,1289.67,1289.34,1289.52,1289.08,1289.31,1288.98,1289.16
24//2017:00:00,1289.57,1289.95,1289.38,1289.47,1289.18,1289.58,1289.00,1289.08
24//2017:00:00,1289.65,1289.75,1289.15,1289.58,1289.28,1289.38,1288.80,1289.19
24//2017:00:00,1289.71,1289.91,1289.43,1289.63,1289.37,1289.55,1289.07,1289.28
24//2017:00:00,1289.74,1289.74,1289.27,1289.73,1289.35,1289.38,1288.89,1289.37
24//2017:00:00,1289.77,1289.86,1289.39,1289.75,1289.34,1289.45,1289.01,1289.38
24//2017:00:00,1289.73,1290.06,1289.34,1289.77,1289.40,1289.67,1288.95,1289.37
24//2017:00:00,1290.09,1290.12,1289.48,1289.81,1289.70,1289.71,1289.09,1289.42
24//2017:00:00,1290.15,1290.65,1290.01,1290.08,1289.76,1290.27,1289.61,1289.70
24//2017:00:00,1290.16,1290.29,1290.03,1290.15,1289.77,1289.91,1289.65,1289.77
24//2017:00:00,1289.93,1290.19,1289.81,1290.14,1289.54,1289.80,1289.44,1289.75
24//2017:00:00,1289.93,1290.02,1289.34,1289.92,1289.54,1289.63,1288.95,1289.54
24//2017:00:00,1290.04,1290.33,1289.88,1289.94,1289.66,1289.94,1289.53,1289.55
24//2017:00:00,1290.73,1290.85,1288.91,1290.05,1290.35,1290.47,1288.54,1289.66
24//2017:00:00,1290.87,1291.02,1290.52,1290.72,1290.49,1290.63,1290.16,1290.35
24//2017:00:00,1290.43,1290.91,1290.33,1290.87,1290.05,1290.53,1289.95,1290.50
24//2017:00:00,1290.41,1290.67,1290.22,1290.43,1290.04,1290.30,1289.87,1290.04
24//2017:00:00,1290.40,1290.67,1290.35,1290.41,1290.03,1290.31,1290.00,1290.05
24//2017:00:00,1290.52,1290.72,1290.37,1290.40,1290.14,1290.34,1290.01,1290.02
24//2017:00:00,1290.89,1291.10,1290.43,1290.53,1290.53,1290.73,1290.05,1290.14
24//2017:00:00,1290.80,1290.92,1290.58,1290.90,1290.42,1290.54,1290.22,1290.53
24//2017:00:00,1291.29,1291.36,1290.58,1290.78,1290.90,1291.01,1290.22,1290.42
24//2017:00:00,1290.76,1291.44,1290.67,1291.28,1290.40,1291.05,1290.30,1290.90
24//2017:00:00,1291.10,1291.27,1290.73,1290.77,1290.72,1290.89,1290.36,1290.40
24//2017:00:00,1291.36,1291.38,1290.99,1291.09,1290.99,1291.00,1290.65,1290.72
24//2017:00:00,1291.36,1291.43,1291.04,1291.35,1291.00,1291.06,1290.66,1290.99
24//2017:00:00,1291.47,1291.65,1291.36,1291.36,1291.10,1291.29,1290.98,1290.98
24//2017:00:00,1291.81,1291.85,1291.44,1291.46,1291.47,1291.49,1291.07,1291.10
24//2017:00:00,1291.74,1291.97,1291.67,1291.82,1291.39,1291.59,1291.29,1291.47
24//2017:00:00,1291.76,1291.91,1291.63,1291.73,1291.38,1291.53,1291.28,1291.39
