Date,open,high,low,close
10//2017:00:00,1276.35,1276.42,1275.82,1276.0
10//2017:00:00,1276.0,1276.39,1275.96,1276.39
12//2017:00:00,1275.38,1275.66,1275.08,1275.37
12//2017:00:00,1275.37,1275.46,1275.05,1275.11
12//2017:00:00,1275.12,1275.12,1274.61,1274.8
12//2017:00:00,1274.8,1275.38,1274.79,1275.19
12//2017:00:00,1275.19,1275.46,1275.09,1275.14
12//2017:00:00,1275.16,1275.58,1275.13,1275.49
12//2017:00:00,1275.48,1275.67,1275.35,1275.59
12//2017:00:00,1275.56,1275.78,1275.46,1275.56
12//2017:00:00,1275.55,1275.89,1275.45,1275.75
12//2017:00:00,1275.75,1275.91,1275.35,1275.36
12//2017:00:00,1275.36,1275.57,1275.31,1275.41
12//2017:00:00,1275.41,1275.64,1275.4,1275.51
12//2017:00:00,1275.52,1275.93,1275.26,1275.26
12//2017:00:00,1275.26,1275.86,1275.1,1275.85
12//2017:00:00,1275.85,1275.87,1275.22,1275.38
12//2017:00:00,1275.38,1275.76,1275.17,1275.66
12//2017:00:00,1275.66,1275.87,1275.37,1275.64
12//2017:00:00,1275.65,1275.87,1275.56,1275.85
12//2017:00:00,1275.84,1275.86,1275.57,1275.77
12//2017:00:00,1275.77,1276.21,1275.76,1276.07
12//2017:00:00,1276.07,1276.36,1275.79,1275.87
12//2017:00:00,1275.87,1276.14,1275.73,1275.86
12//2017:00:00,1275.87,1275.96,1275.47,1275.6
12//2017:00:00,1275.6,1275.93,1275.52,1275.75
12//2017:00:00,1275.75,1276.06,1275.56,1275.92
12//2017:00:00,1275.91,1276.18,1275.85,1276.12
12//2017:00:00,1276.13,1276.46,1276.12,1276.34
12//2017:00:00,1276.33,1276.65,1276.28,1276.45
12//2017:00:00,1276.45,1276.57,1276.16,1276.44
12//2017:00:00,1276.45,1276.55,1276.21,1276.25
12//2017:00:00,1276.25,1276.66,1275.95,1276.46
12//2017:00:00,1276.46,1276.65,1276.34,1276.39
12//2017:00:00,1276.39,1276.41,1275.8,1276.22
12//2017:00:00,1276.22,1276.34,1276.12,1276.33
12//2017:00:00,1276.33,1276.47,1276.17,1276.43
12//2017:00:00,1276.43,1276.66,1276.38,1276.54
12//2017:00:00,1276.56,1276.81,1276.38,1276.46
12//2017:00:00,1276.47,1276.5,1276.21,1276.25
12//2017:00:00,1276.24,1276.49,1276.18,1276.32
12//2017:00:00,1276.32,1276.49,1276.21,1276.34
12//2017:00:00,1276.34,1276.52,1276.28,1276.5
12//2017:00:00,1276.5,1276.6,1276.37,1276.6
12//2017:00:00,1276.6,1276.71,1276.41,1276.61
12//2017:00:00,1276.62,1276.8,1276.57,1276.57
12//2017:00:00,1276.58,1276.82,1276.42,1276.45
12//2017:00:00,1276.45,1276.65,1276.44,1276.52
12//2017:00:00,1276.5,1276.63,1276.36,1276.43
12//2017:00:00,1276.43,1276.58,1276.32,1276.52
12//2017:00:00,1276.52,1276.54,1276.38,1276.41
12//2017:00:00,1276.41,1276.59,1276.35,1276.38
12//2017:00:00,1276.37,1276.38,1276.27,1276.28
12//2017:00:00,1276.27,1276.37,1276.23,1276.36
12//2017:00:00,1276.35,1276.36,1276.18,1276.2
12//2017:00:00,1276.21,1276.29,1275.77,1276.11
12//2017:00:00,1276.11,1276.22,1276.02,1276.11
12//2017:00:00,1276.11,1276.22,1276.11,1276.2
12//2017:00:00,1276.2,1276.22,1276.12,1276.13
12//2017:00:00,1276.13,1276.13,1275.86,1276.01
12//2017:00:00,1276.04,1276.21,1275.96,1276.11
12//2017:00:00,1276.12,1276.26,1276.02,1276.06
12//2017:00:00,1276.06,1276.13,1275.71,1275.75
12//2017:00:00,1275.74,1275.84,1275.68,1275.74
12//2017:00:00,1275.73,1275.9,1275.7,1275.78
12//2017:00:00,1275.78,1275.93,1275.78,1275.92
12//2017:00:00,1275.93,1275.95,1275.84,1275.91
12//2017:00:00,1275.92,1275.95,1275.8,1275.9
12//2017:00:00,1275.91,1275.96,1275.84,1275.88
12//2017:00:00,1275.88,1275.98,1275.82,1275.84
12//2017:00:00,1275.83,1275.92,1275.81,1275.84
12//2017:00:00,1275.83,1276.06,1275.83,1276.06
12//2017:00:00,1276.05,1276.15,1276.0,1276.14
12//2017:00:00,1276.14,1276.14,1275.91,1275.91
13//2017:00:00,1275.95,1276.24,1275.92,1276.24
